player 39: 1 games missing teammate data, 0 missing opponent data
player 43: 1 games missing teammate data, 0 missing opponent data
player 44: 1 games missing teammate data, 0 missing opponent data
player 46: 1 games missing teammate data, 0 missing opponent data
player 47: 1 games missing teammate data, 0 missing opponent data
player 48: 1 games missing teammate data, 0 missing opponent data
player 49: 1 games missing teammate data, 0 missing opponent data
player 50: 1 games missing teammate data, 0 missing opponent data
player 51: 1 games missing teammate data, 0 missing opponent data
player 52: 1 games missing teammate data, 0 missing opponent data
player 53: 1 games missing teammate data, 0 missing opponent data
player 55: 1 games missing teammate data, 0 missing opponent data
player 56: 1 games missing teammate data, 0 missing opponent data
player 73: 4 games missing teammate data, 0 missing opponent data
player 74: 1 games missing teammate data, 0 missing opponent data
player 75: 1 games missing teammate data, 0 missing opponent data
player 76: 1 games missing teammate data, 0 missing opponent data
player 77: 5 games missing teammate data, 0 missing opponent data
player 78: 1 games missing teammate data, 0 missing opponent data
player 80: 5 games missing teammate data, 0 missing opponent data
player 81: 1 games missing teammate data, 0 missing opponent data
player 82: 1 games missing teammate data, 0 missing opponent data
player 83: 1 games missing teammate data, 0 missing opponent data
player 84: 1 games missing teammate data, 0 missing opponent data
player 86: 1 games missing teammate data, 0 missing opponent data
player 87: 180 games missing teammate data, 0 missing opponent data
player 88: 180 games missing teammate data, 0 missing opponent data
player 89: 180 games missing teammate data, 0 missing opponent data
player 90: 180 games missing teammate data, 0 missing opponent data
player 91: 180 games missing teammate data, 0 missing opponent data
player 92: 180 games missing teammate data, 0 missing opponent data
player 93: 180 games missing teammate data, 0 missing opponent data
player 94: 180 games missing teammate data, 0 missing opponent data
player 95: 55 games missing teammate data, 0 missing opponent data
player 96: 180 games missing teammate data, 0 missing opponent data
player 97: 180 games missing teammate data, 0 missing opponent data
player 98: 180 games missing teammate data, 0 missing opponent data
player 99: 180 games missing teammate data, 0 missing opponent data
player 100: 180 games missing teammate data, 0 missing opponent data
player 101: 151 games missing teammate data, 0 missing opponent data
player 102: 127 games missing teammate data, 0 missing opponent data
player 103: 115 games missing teammate data, 0 missing opponent data
player 104: 51 games missing teammate data, 0 missing opponent data
player 105: 180 games missing teammate data, 0 missing opponent data
player 106: 180 games missing teammate data, 0 missing opponent data
player 107: 180 games missing teammate data, 0 missing opponent data
player 108: 180 games missing teammate data, 0 missing opponent data
player 109: 90 games missing teammate data, 0 missing opponent data
player 110: 180 games missing teammate data, 0 missing opponent data
player 111: 180 games missing teammate data, 0 missing opponent data
player 112: 180 games missing teammate data, 0 missing opponent data
player 113: 180 games missing teammate data, 0 missing opponent data
player 114: 45 games missing teammate data, 0 missing opponent data
player 115: 163 games missing teammate data, 0 missing opponent data
player 116: 180 games missing teammate data, 0 missing opponent data
player 117: 180 games missing teammate data, 0 missing opponent data
player 118: 173 games missing teammate data, 0 missing opponent data
player 119: 180 games missing teammate data, 0 missing opponent data
player 120: 180 games missing teammate data, 0 missing opponent data
player 121: 180 games missing teammate data, 0 missing opponent data
player 122: 180 games missing teammate data, 0 missing opponent data
player 123: 95 games missing teammate data, 0 missing opponent data
player 124: 109 games missing teammate data, 0 missing opponent data
player 125: 29 games missing teammate data, 0 missing opponent data
player 126: 41 games missing teammate data, 0 missing opponent data
player 127: 180 games missing teammate data, 0 missing opponent data
player 128: 180 games missing teammate data, 0 missing opponent data
player 129: 180 games missing teammate data, 0 missing opponent data
player 130: 180 games missing teammate data, 0 missing opponent data
player 131: 180 games missing teammate data, 0 missing opponent data
player 132: 180 games missing teammate data, 0 missing opponent data
player 133: 180 games missing teammate data, 0 missing opponent data
player 134: 180 games missing teammate data, 0 missing opponent data
player 135: 180 games missing teammate data, 0 missing opponent data
player 136: 93 games missing teammate data, 0 missing opponent data
player 137: 180 games missing teammate data, 0 missing opponent data
player 138: 180 games missing teammate data, 0 missing opponent data
player 139: 94 games missing teammate data, 0 missing opponent data
player 140: 180 games missing teammate data, 0 missing opponent data
player 141: 180 games missing teammate data, 0 missing opponent data
player 142: 180 games missing teammate data, 0 missing opponent data
player 143: 179 games missing teammate data, 0 missing opponent data
player 144: 145 games missing teammate data, 0 missing opponent data
player 145: 180 games missing teammate data, 0 missing opponent data
player 146: 180 games missing teammate data, 0 missing opponent data
player 147: 159 games missing teammate data, 0 missing opponent data
player 148: 71 games missing teammate data, 0 missing opponent data
player 149: 149 games missing teammate data, 0 missing opponent data
player 150: 180 games missing teammate data, 0 missing opponent data
player 151: 180 games missing teammate data, 0 missing opponent data
player 152: 180 games missing teammate data, 0 missing opponent data
player 153: 180 games missing teammate data, 0 missing opponent data
player 154: 180 games missing teammate data, 0 missing opponent data
player 155: 180 games missing teammate data, 0 missing opponent data
player 156: 119 games missing teammate data, 0 missing opponent data
player 157: 168 games missing teammate data, 0 missing opponent data
player 158: 180 games missing teammate data, 0 missing opponent data
player 159: 180 games missing teammate data, 0 missing opponent data
player 160: 180 games missing teammate data, 0 missing opponent data
player 161: 180 games missing teammate data, 0 missing opponent data
player 162: 94 games missing teammate data, 0 missing opponent data
player 163: 180 games missing teammate data, 0 missing opponent data
player 164: 180 games missing teammate data, 0 missing opponent data
player 165: 60 games missing teammate data, 0 missing opponent data
player 166: 180 games missing teammate data, 0 missing opponent data
player 167: 39 games missing teammate data, 0 missing opponent data
player 168: 180 games missing teammate data, 0 missing opponent data
player 169: 180 games missing teammate data, 0 missing opponent data
player 170: 180 games missing teammate data, 0 missing opponent data
player 171: 180 games missing teammate data, 0 missing opponent data
player 172: 180 games missing teammate data, 0 missing opponent data
player 173: 180 games missing teammate data, 0 missing opponent data
player 174: 180 games missing teammate data, 0 missing opponent data
player 175: 180 games missing teammate data, 0 missing opponent data
player 176: 180 games missing teammate data, 0 missing opponent data
player 177: 180 games missing teammate data, 0 missing opponent data
player 178: 159 games missing teammate data, 0 missing opponent data
player 179: 180 games missing teammate data, 0 missing opponent data
player 180: 180 games missing teammate data, 0 missing opponent data
player 181: 180 games missing teammate data, 0 missing opponent data
player 182: 180 games missing teammate data, 0 missing opponent data
player 183: 180 games missing teammate data, 0 missing opponent data
player 184: 180 games missing teammate data, 0 missing opponent data
player 185: 180 games missing teammate data, 0 missing opponent data
player 186: 180 games missing teammate data, 0 missing opponent data
player 187: 163 games missing teammate data, 0 missing opponent data
player 188: 77 games missing teammate data, 0 missing opponent data
player 189: 170 games missing teammate data, 0 missing opponent data
player 190: 180 games missing teammate data, 0 missing opponent data
player 191: 180 games missing teammate data, 0 missing opponent data
player 192: 180 games missing teammate data, 0 missing opponent data
player 193: 142 games missing teammate data, 0 missing opponent data
player 194: 180 games missing teammate data, 0 missing opponent data
player 195: 129 games missing teammate data, 0 missing opponent data
player 196: 180 games missing teammate data, 0 missing opponent data
player 197: 180 games missing teammate data, 0 missing opponent data
player 198: 180 games missing teammate data, 0 missing opponent data
player 199: 180 games missing teammate data, 0 missing opponent data
player 200: 180 games missing teammate data, 0 missing opponent data
player 201: 180 games missing teammate data, 0 missing opponent data
player 202: 180 games missing teammate data, 0 missing opponent data
player 203: 180 games missing teammate data, 0 missing opponent data
player 204: 66 games missing teammate data, 0 missing opponent data
player 205: 180 games missing teammate data, 0 missing opponent data
player 206: 180 games missing teammate data, 0 missing opponent data
player 207: 180 games missing teammate data, 0 missing opponent data
player 208: 180 games missing teammate data, 0 missing opponent data
player 209: 180 games missing teammate data, 0 missing opponent data
player 210: 177 games missing teammate data, 0 missing opponent data
player 211: 180 games missing teammate data, 0 missing opponent data
player 212: 180 games missing teammate data, 0 missing opponent data
player 213: 180 games missing teammate data, 0 missing opponent data
player 214: 180 games missing teammate data, 0 missing opponent data
player 215: 180 games missing teammate data, 0 missing opponent data
player 216: 76 games missing teammate data, 0 missing opponent data
player 217: 180 games missing teammate data, 0 missing opponent data
player 218: 180 games missing teammate data, 0 missing opponent data
player 219: 180 games missing teammate data, 0 missing opponent data
player 220: 180 games missing teammate data, 0 missing opponent data
player 221: 166 games missing teammate data, 0 missing opponent data
player 222: 180 games missing teammate data, 0 missing opponent data
player 223: 180 games missing teammate data, 0 missing opponent data
player 224: 178 games missing teammate data, 0 missing opponent data
player 225: 180 games missing teammate data, 0 missing opponent data
player 226: 180 games missing teammate data, 0 missing opponent data
player 227: 180 games missing teammate data, 0 missing opponent data
player 228: 180 games missing teammate data, 0 missing opponent data
player 229: 167 games missing teammate data, 0 missing opponent data
player 230: 90 games missing teammate data, 0 missing opponent data
player 231: 92 games missing teammate data, 0 missing opponent data
player 232: 180 games missing teammate data, 0 missing opponent data
player 233: 180 games missing teammate data, 0 missing opponent data
player 234: 111 games missing teammate data, 0 missing opponent data
player 235: 180 games missing teammate data, 0 missing opponent data
player 236: 24 games missing teammate data, 0 missing opponent data
player 237: 180 games missing teammate data, 0 missing opponent data
player 238: 180 games missing teammate data, 0 missing opponent data
player 239: 180 games missing teammate data, 0 missing opponent data
player 240: 180 games missing teammate data, 0 missing opponent data
player 241: 180 games missing teammate data, 0 missing opponent data
player 242: 180 games missing teammate data, 0 missing opponent data
player 243: 180 games missing teammate data, 0 missing opponent data
player 244: 180 games missing teammate data, 0 missing opponent data
player 245: 88 games missing teammate data, 0 missing opponent data
player 246: 180 games missing teammate data, 0 missing opponent data
player 247: 180 games missing teammate data, 0 missing opponent data
player 248: 119 games missing teammate data, 0 missing opponent data
player 249: 77 games missing teammate data, 0 missing opponent data
player 250: 180 games missing teammate data, 0 missing opponent data
player 251: 180 games missing teammate data, 0 missing opponent data
player 252: 180 games missing teammate data, 0 missing opponent data
player 253: 180 games missing teammate data, 0 missing opponent data
player 254: 89 games missing teammate data, 0 missing opponent data
player 255: 41 games missing teammate data, 0 missing opponent data
player 256: 180 games missing teammate data, 0 missing opponent data
player 257: 180 games missing teammate data, 0 missing opponent data
player 258: 180 games missing teammate data, 0 missing opponent data
player 259: 180 games missing teammate data, 0 missing opponent data
player 260: 180 games missing teammate data, 0 missing opponent data
player 261: 180 games missing teammate data, 0 missing opponent data
player 262: 180 games missing teammate data, 0 missing opponent data
player 263: 180 games missing teammate data, 0 missing opponent data
player 264: 180 games missing teammate data, 0 missing opponent data
player 265: 180 games missing teammate data, 0 missing opponent data
player 266: 180 games missing teammate data, 0 missing opponent data
player 267: 89 games missing teammate data, 0 missing opponent data
player 268: 88 games missing teammate data, 0 missing opponent data
player 269: 15 games missing teammate data, 0 missing opponent data
player 270: 180 games missing teammate data, 0 missing opponent data
player 271: 180 games missing teammate data, 0 missing opponent data
player 272: 180 games missing teammate data, 0 missing opponent data
player 273: 180 games missing teammate data, 0 missing opponent data
player 274: 180 games missing teammate data, 0 missing opponent data
player 275: 180 games missing teammate data, 0 missing opponent data
player 276: 180 games missing teammate data, 0 missing opponent data
player 277: 166 games missing teammate data, 0 missing opponent data
player 278: 180 games missing teammate data, 0 missing opponent data
player 279: 81 games missing teammate data, 0 missing opponent data
player 280: 180 games missing teammate data, 0 missing opponent data
player 281: 180 games missing teammate data, 0 missing opponent data
player 282: 180 games missing teammate data, 0 missing opponent data
player 283: 125 games missing teammate data, 0 missing opponent data
player 284: 180 games missing teammate data, 0 missing opponent data
player 285: 180 games missing teammate data, 0 missing opponent data
player 286: 175 games missing teammate data, 0 missing opponent data
player 287: 180 games missing teammate data, 0 missing opponent data
player 288: 180 games missing teammate data, 0 missing opponent data
player 289: 180 games missing teammate data, 0 missing opponent data
player 290: 180 games missing teammate data, 0 missing opponent data
player 291: 180 games missing teammate data, 0 missing opponent data
player 292: 176 games missing teammate data, 0 missing opponent data
player 293: 70 games missing teammate data, 0 missing opponent data
player 294: 142 games missing teammate data, 0 missing opponent data
player 295: 180 games missing teammate data, 0 missing opponent data
player 296: 179 games missing teammate data, 0 missing opponent data
player 297: 52 games missing teammate data, 0 missing opponent data
player 298: 73 games missing teammate data, 0 missing opponent data
player 299: 180 games missing teammate data, 0 missing opponent data
player 300: 20 games missing teammate data, 0 missing opponent data
player 301: 180 games missing teammate data, 0 missing opponent data
player 302: 180 games missing teammate data, 0 missing opponent data
player 303: 61 games missing teammate data, 0 missing opponent data
player 304: 172 games missing teammate data, 0 missing opponent data
player 305: 83 games missing teammate data, 0 missing opponent data
player 306: 71 games missing teammate data, 0 missing opponent data
player 307: 14 games missing teammate data, 0 missing opponent data
player 308: 100 games missing teammate data, 0 missing opponent data
player 309: 180 games missing teammate data, 0 missing opponent data
player 310: 132 games missing teammate data, 0 missing opponent data
player 311: 171 games missing teammate data, 0 missing opponent data
player 312: 56 games missing teammate data, 0 missing opponent data
player 313: 174 games missing teammate data, 0 missing opponent data
player 314: 52 games missing teammate data, 0 missing opponent data
player 315: 180 games missing teammate data, 0 missing opponent data
player 316: 140 games missing teammate data, 0 missing opponent data
player 317: 180 games missing teammate data, 0 missing opponent data
player 318: 180 games missing teammate data, 0 missing opponent data
player 319: 54 games missing teammate data, 0 missing opponent data
player 320: 54 games missing teammate data, 0 missing opponent data
player 321: 180 games missing teammate data, 0 missing opponent data
player 322: 180 games missing teammate data, 0 missing opponent data
player 323: 180 games missing teammate data, 0 missing opponent data
player 324: 180 games missing teammate data, 0 missing opponent data
player 325: 56 games missing teammate data, 0 missing opponent data
player 326: 4 games missing teammate data, 0 missing opponent data
player 327: 35 games missing teammate data, 0 missing opponent data
player 328: 38 games missing teammate data, 0 missing opponent data
player 329: 180 games missing teammate data, 0 missing opponent data
player 330: 180 games missing teammate data, 0 missing opponent data
player 331: 180 games missing teammate data, 0 missing opponent data
player 332: 21 games missing teammate data, 0 missing opponent data
player 333: 180 games missing teammate data, 0 missing opponent data
player 334: 180 games missing teammate data, 0 missing opponent data
player 335: 8 games missing teammate data, 0 missing opponent data
player 336: 180 games missing teammate data, 0 missing opponent data
player 337: 180 games missing teammate data, 0 missing opponent data
player 338: 117 games missing teammate data, 0 missing opponent data
player 339: 180 games missing teammate data, 0 missing opponent data
player 340: 6 games missing teammate data, 0 missing opponent data
